
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [   1/391] |lr=0.1 | train_loss=2.3675 | train_acc=9.375
Epoch 000 [   2/391] |lr=0.1 | train_loss=3.0408 | train_acc=9.766
Epoch 000 [   3/391] |lr=0.1 | train_loss=4.8905 | train_acc=8.594
Epoch 000 [   4/391] |lr=0.1 | train_loss=6.4560 | train_acc=8.984
Epoch 000 [   5/391] |lr=0.1 | train_loss=7.0625 | train_acc=8.906
Epoch 000 [   6/391] |lr=0.1 | train_loss=7.7826 | train_acc=8.464
Epoch 000 [   7/391] |lr=0.1 | train_loss=8.1546 | train_acc=8.482
Epoch 000 [   8/391] |lr=0.1 | train_loss=7.7841 | train_acc=9.082
Epoch 000 [   9/391] |lr=0.1 | train_loss=7.8222 | train_acc=9.115
Epoch 000 [  10/391] |lr=0.1 | train_loss=7.6793 | train_acc=9.062
Epoch 000 [  11/391] |lr=0.1 | train_loss=7.4341 | train_acc=9.304
Epoch 000 [  12/391] |lr=0.1 | train_loss=7.1837 | train_acc=9.570
Epoch 000 [  13/391] |lr=0.1 | train_loss=7.0774 | train_acc=9.916
Epoch 000 [  14/391] |lr=0.1 | train_loss=6.7829 | train_acc=9.933
Epoch 000 [  15/391] |lr=0.1 | train_loss=6.5646 | train_acc=9.948
Epoch 000 [  16/391] |lr=0.1 | train_loss=6.4017 | train_acc=10.010
Epoch 000 [  17/391] |lr=0.1 | train_loss=6.1791 | train_acc=10.064
Epoch 000 [  18/391] |lr=0.1 | train_loss=5.9919 | train_acc=10.200
Epoch 000 [  19/391] |lr=0.1 | train_loss=5.7979 | train_acc=10.280
Epoch 000 [  20/391] |lr=0.1 | train_loss=5.7362 | train_acc=10.273
Epoch 000 [  21/391] |lr=0.1 | train_loss=5.6530 | train_acc=10.156
Epoch 000 [  22/391] |lr=0.1 | train_loss=5.5150 | train_acc=10.192
Epoch 000 [  23/391] |lr=0.1 | train_loss=5.4120 | train_acc=10.054
Epoch 000 [  24/391] |lr=0.1 | train_loss=5.3086 | train_acc=10.059
Epoch 000 [  25/391] |lr=0.1 | train_loss=5.2052 | train_acc=9.938
Epoch 000 [  26/391] |lr=0.1 | train_loss=5.1005 | train_acc=9.675
Epoch 000 [  27/391] |lr=0.1 | train_loss=5.0065 | train_acc=9.722
Epoch 000 [  28/391] |lr=0.1 | train_loss=4.9142 | train_acc=9.710
Epoch 000 [  29/391] |lr=0.1 | train_loss=4.8292 | train_acc=9.779
Epoch 000 [  30/391] |lr=0.1 | train_loss=4.7490 | train_acc=9.792
Epoch 000 [  31/391] |lr=0.1 | train_loss=4.6736 | train_acc=9.803
Epoch 000 [  32/391] |lr=0.1 | train_loss=4.6355 | train_acc=9.839
Epoch 000 [  33/391] |lr=0.1 | train_loss=4.6347 | train_acc=9.920
Epoch 000 [  34/391] |lr=0.1 | train_loss=4.6088 | train_acc=9.858
Epoch 000 [  35/391] |lr=0.1 | train_loss=4.5546 | train_acc=9.844
Epoch 000 [  36/391] |lr=0.1 | train_loss=4.5100 | train_acc=9.874
Epoch 000 [  37/391] |lr=0.1 | train_loss=4.4539 | train_acc=9.945
Epoch 000 [  38/391] |lr=0.1 | train_loss=4.3964 | train_acc=9.930
Epoch 000 [  39/391] |lr=0.1 | train_loss=4.3416 | train_acc=9.996
Epoch 000 [  40/391] |lr=0.1 | train_loss=4.2937 | train_acc=10.020
Epoch 000 [  41/391] |lr=0.1 | train_loss=4.2441 | train_acc=10.042
Epoch 000 [  42/391] |lr=0.1 | train_loss=4.2046 | train_acc=10.138
Epoch 000 [  43/391] |lr=0.1 | train_loss=4.1623 | train_acc=10.174
Epoch 000 [  44/391] |lr=0.1 | train_loss=4.1250 | train_acc=10.210
Epoch 000 [  45/391] |lr=0.1 | train_loss=4.0828 | train_acc=10.226
Epoch 000 [  46/391] |lr=0.1 | train_loss=4.0427 | train_acc=10.241
Epoch 000 [  47/391] |lr=0.1 | train_loss=4.0304 | train_acc=10.239
Epoch 000 [  48/391] |lr=0.1 | train_loss=3.9966 | train_acc=10.221
Epoch 000 [  49/391] |lr=0.1 | train_loss=3.9761 | train_acc=10.220
Epoch 000 [  50/391] |lr=0.1 | train_loss=3.9579 | train_acc=10.250
Epoch 000 [  51/391] |lr=0.1 | train_loss=3.9350 | train_acc=10.202
Epoch 000 [  52/391] |lr=0.1 | train_loss=3.9080 | train_acc=10.186
Epoch 000 [  53/391] |lr=0.1 | train_loss=3.8789 | train_acc=10.230
Epoch 000 [  54/391] |lr=0.1 | train_loss=3.8541 | train_acc=10.301
Epoch 000 [  55/391] |lr=0.1 | train_loss=3.8268 | train_acc=10.341
Epoch 000 [  56/391] |lr=0.1 | train_loss=3.8044 | train_acc=10.352
Epoch 000 [  57/391] |lr=0.1 | train_loss=3.7818 | train_acc=10.307
