
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [   1/391] |lr=0.1 | train_loss=2.5686 | train_acc=11.719
Epoch 000 [   2/391] |lr=0.1 | train_loss=7.8008 | train_acc=10.547
Epoch 000 [   3/391] |lr=0.1 | train_loss=13.4079 | train_acc=11.719
Epoch 000 [   4/391] |lr=0.1 | train_loss=20.4433 | train_acc=10.547
Epoch 000 [   5/391] |lr=0.1 | train_loss=32.1118 | train_acc=10.781
Epoch 000 [   6/391] |lr=0.1 | train_loss=39.2040 | train_acc=11.068
Epoch 000 [   7/391] |lr=0.1 | train_loss=48.9938 | train_acc=11.719
Epoch 000 [   8/391] |lr=0.1 | train_loss=56.3432 | train_acc=12.402
Epoch 000 [   9/391] |lr=0.1 | train_loss=64.3026 | train_acc=12.066
Epoch 000 [  10/391] |lr=0.1 | train_loss=72.5327 | train_acc=12.500
Epoch 000 [  11/391] |lr=0.1 | train_loss=76.9530 | train_acc=12.358
Epoch 000 [  12/391] |lr=0.1 | train_loss=85.8164 | train_acc=12.240
Epoch 000 [  13/391] |lr=0.1 | train_loss=89.0552 | train_acc=12.139
Epoch 000 [  14/391] |lr=0.1 | train_loss=94.1774 | train_acc=12.277
Epoch 000 [  15/391] |lr=0.1 | train_loss=98.0739 | train_acc=12.083
Epoch 000 [  16/391] |lr=0.1 | train_loss=104.2295 | train_acc=12.109
Epoch 000 [  17/391] |lr=0.1 | train_loss=107.8976 | train_acc=11.949
Epoch 000 [  18/391] |lr=0.1 | train_loss=111.5997 | train_acc=11.719
